ILINK,ORDER_DATE,Concat_CLASS_NAME
0000000004,2017-05-09,"Fashion Scarves,Knit Tops,Pants"
0000000004,2017-05-14,"Knit Tops,Pants"
0000000004,2017-05-29,"Fashion Scarves,Knit Tops,Pants"
0000000004,2017-11-15,"Fashion Scarves,Jewelry,Pants"
0000000004,2017-11-22,"Fashion Scarves,Knit Tops,Pants,Woven Shirts"
0000000004,2017-12-31,"Knit Tops,Pants,Sweaters"
0000000004,2018-06-01,"Knit Tops,Pants"
0000000004,2018-07-08,"Pants,Skirts"
0000000004,2018-10-28,"Pants,Ponchos and Wraps,Sweaters"
0000000023,2017-07-17,"Fashion Scarves,Jewelry"
0000000023,2017-07-19,Pants
0000000023,2017-12-07,"Jewelry,Knit Tops,Legwear"
0000000023,2017-12-17,"Jewelry,Legwear"
0000000023,2017-12-22,Woven Shirts
0000000023,2018-03-11,Knit Tops
0000000023,2018-03-14,Knit Tops
0000000023,2018-12-16,"Legwear,Seasonal"
0000000023,2018-12-26,"Jewelry,Knit Tops,Legwear"
0000000023,2019-01-01,"Jewelry,Knit Tops,Legwear"
0000000049,2017-03-15,"Knit Tops,Pants"
0000000049,2017-04-12,Pants
0000000049,2017-05-10,"Pants,Ponchos and Wraps,Sweaters"
0000000049,2018-11-10,Pants
0000000049,2018-11-10,"Pants,Ponchos and Wraps,Woven Shirts"
0000000049,2018-11-10,Woven Shirts
0000000049,2019-03-13,Woven Shirts
0000000723,2017-05-31,Woven Shirts
0000000723,2017-09-26,Knit Tops
0000000723,2017-10-06,Woven Shirts
0000000723,2017-12-16,Jackets and Outerwear
0000000723,2018-02-17,Jackets and Outerwear
0000000723,2018-02-19,"Sweaters,Woven Shirts"
0000000723,2018-02-28,"Jewelry,Sweaters,Woven Shirts"
0000000723,2018-03-11,"Knit Tops,Sweaters"
0000000723,2018-05-29,Sweaters
0000000730,2017-05-01,Pants
0000000730,2017-05-01,Pants
0000000730,2017-05-01,"Pants,Woven Shirts"
0000000730,2017-05-15,Fashion Scarves
0000000730,2017-05-15,Pants
0000000730,2017-12-10,Knit Tops
0000000730,2017-12-28,Sweaters
0000000730,2018-05-17,Knit Tops
0000000730,2018-05-17,"Knit Tops,Pants"
0000000730,2018-05-30,Knit Tops
0000000737,2017-06-29,"Knit Tops,Pants,Skirts"
0000000737,2017-07-02,"Knit Tops,Pants,Skirts"
0000000737,2017-10-02,"Dresses,Knit Tops,Pants,Sweaters"
0000000737,2017-10-02,Knit Tops
0000000737,2017-10-23,"Knit Tops,Pants"
0000000737,2018-03-31,"Dresses,Knit Tops,Pants,Sweaters"
0000000737,2018-03-31,Knit Tops
0000000737,2018-03-31,"Knit Tops,Shoes"
0000000742,2017-02-13,"Jackets and Outerwear,Knit Tops,Pants"
0000000742,2017-02-20,Knit Tops
0000000742,2017-07-01,"Dresses,Knit Tops,Pants,Skirts"
0000000742,2017-09-09,"Jewelry,Knit Tops"
0000000742,2017-11-04,"Pants,Woven Shirts"
0000000742,2018-01-15,"Jackets and Outerwear,Knit Tops"
0000000742,2018-04-23,Knit Tops
0000000755,2017-12-31,"Dresses,Knit Tops,Sweaters,Woven Shirts"
0000000755,2018-01-19,Knit Tops
0000000755,2018-04-11,"Knit Tops,Skirts"
0000000755,2018-04-29,"Fashion Scarves,Knit Tops"
0000000755,2018-06-24,Knit Tops
0000000755,2018-06-30,Sweaters
0000000755,2018-07-17,"Pants,Sweaters,Woven Shirts"
0000000760,2017-05-12,"Knit Tops,Pants"
0000000760,2017-05-22,Pants
0000000760,2017-05-22,Ponchos and Wraps
0000000760,2017-05-24,Knit Tops
0000000760,2017-07-08,Ponchos and Wraps
0000000760,2017-07-13,"Knit Tops,Pants"
0000000760,2017-11-19,"Skirts,Sweaters"
0000000760,2018-01-03,"Skirts,Woven Shirts"
0000000760,2018-02-05,Woven Shirts
0000000760,2018-02-05,Woven Shirts
0000000761,2017-10-13,"Jewelry,Knit Tops,Woven Shirts"
0000000761,2017-10-29,Jewelry
0000000761,2018-06-28,"Knit Tops,Woven Shirts"
0000000761,2018-08-23,Knit Tops
0000000761,2018-08-28,Knit Tops
0000000761,2018-12-12,Knit Tops
0000000761,2018-12-31,"Knit Tops,Sweaters"
0000000761,2019-01-31,Pants
0000000763,2017-06-27,Dresses
0000000763,2017-07-06,"Dresses,Knit Tops,Pants,Sweaters,Woven Shirts"
0000000763,2017-10-16,"Dresses,Knit Tops,Sweaters"
0000000763,2018-07-20,Dresses
0000000763,2019-01-04,"Knit Tops,Pants,Ponchos and Wraps,Woven Shirts"
0000000763,2019-01-13,"Dresses,Knit Tops,Pants"
0000000780,2017-04-04,Sweaters
0000000780,2017-07-21,Knit Tops
0000000780,2018-01-29,"Skirts,Woven Shirts"
0000000780,2018-03-28,"Dresses,Fashion Scarves,Jackets and Outerwear,Jewelry,Knit Tops,Skirts,Sweaters"
0000000780,2018-05-01,"Dresses,Pants,Sweaters"
0000000780,2018-05-22,Sweaters
0000000780,2018-06-07,Dresses
0000000780,2018-10-29,"Knit Tops,Skirts"
0000000780,2018-10-29,Sweaters
0000000780,2018-11-29,"Knit Tops,Woven Shirts"
0000000806,2017-05-07,"Knit Tops,Pants"
0000000806,2018-02-22,"Knit Tops,Sweaters"
0000000806,2018-02-22,Pants
0000000806,2018-03-27,"Dresses,Jackets and Outerwear"
0000000806,2018-05-31,"Dresses,Jackets and Outerwear"
0000000806,2018-07-10,Dresses
0000000806,2018-08-31,"Pants,Sweaters"
0000000818,2017-06-01,Shoes
0000000818,2017-08-04,"Jewelry,Pants"
0000000818,2018-02-11,Pants
0000000818,2018-04-23,"Jackets and Outerwear,Knit Tops,Skirts"
0000000818,2018-05-02,"Jackets and Outerwear,Skirts"
0000000818,2018-05-02,"Knit Tops,Sweaters"
0000000932,2017-03-25,"Skirts,Sweaters"
0000000932,2017-08-22,Sweaters
0000000932,2017-12-27,"Fashion Scarves,Woven Shirts"
0000000932,2018-01-04,Woven Shirts
0000000932,2018-06-16,Sweaters
0000000932,2018-07-27,Sweaters
0000000932,2018-11-19,Fashion Scarves
0000001028,2017-06-30,Pants
0000001028,2017-09-16,"Knit Tops,Pants"
0000001028,2018-03-09,"Jackets and Outerwear,Pants,Woven Shirts"
0000001028,2018-10-25,"Knit Tops,Pants"
0000001028,2018-12-16,Pants
0000001028,2019-02-26,"Pants,Sweaters,Woven Shirts"
0000001116,2017-05-20,"Knit Tops,Pants,Sleepwear"
0000001116,2017-10-12,Sleepwear
0000001116,2017-12-29,"Knit Tops,Sleepwear"
0000001116,2018-01-26,Knit Tops
0000001116,2018-05-28,Pants
0000001116,2018-06-23,Knit Tops
0000001116,2018-06-26,Knit Tops
0000001116,2018-11-07,Sleepwear
0000001129,2017-02-08,Sweaters
0000001129,2017-11-11,Jackets and Outerwear
0000001129,2017-12-02,Sweaters
0000001129,2017-12-23,Sweaters
0000001129,2018-01-13,Sweaters
0000001129,2018-02-19,Fashion Scarves
0000001129,2018-02-19,Sweaters
0000001131,2017-02-20,Sweaters
0000001131,2017-04-22,"Knit Tops,Pants,Sweaters"
0000001131,2017-11-02,"Knit Tops,Sweaters"
0000001131,2018-04-15,"Jackets and Outerwear,Sweaters"
0000001131,2018-06-07,"Jackets and Outerwear,Jewelry,Knit Tops,Sweaters"
0000001131,2018-11-23,"Knit Tops,Sweaters"
0000001384,2017-08-24,"Dresses,Sweaters"
0000001384,2017-09-05,"Dresses,Skirts"
0000001384,2017-11-15,"Dresses,Sweaters"
0000001384,2017-12-04,"Dresses,Knit Tops,Skirts"
0000001384,2018-03-05,"Pants,Sweaters,Woven Shirts"
0000001384,2018-08-11,Pants
0000001384,2018-08-31,Woven Shirts
0000001563,2017-09-15,"Pants,Woven Shirts"
0000001563,2017-11-24,"Jackets and Outerwear,Ponchos and Wraps,Sweaters"
0000001563,2017-11-24,"Pants,Woven Shirts"
0000001563,2017-12-10,Sweaters
0000001563,2017-12-19,"Knit Tops,Sweaters"
0000001563,2018-02-19,"Knit Tops,Shoes"
0000001563,2018-03-27,"Knit Tops,Sweaters"
0000001611,2017-02-01,Pants
0000001611,2017-07-10,Pants
0000001611,2017-09-26,"Pants,Sweaters"
0000001611,2018-01-06,Pants
0000001611,2018-01-21,"Legwear,Sweaters"
0000001611,2018-02-19,Pants
0000001611,2018-02-19,Pants
0000001611,2018-07-02,Pants
0000001611,2019-01-08,Pants
0000001611,2019-01-16,Pants
0000001622,2017-04-03,"Dresses,Knit Tops,Woven Shirts"
0000001622,2017-06-23,"Jackets and Outerwear,Knit Tops,Pants,Woven Shirts"
0000001622,2017-06-23,Pants
0000001622,2017-07-03,Dresses
0000001622,2018-01-20,"Jewelry,Sweaters"
0000001622,2018-07-12,"Dresses,Pants"
0000001622,2018-09-09,Fashion Scarves
0000001622,2019-03-10,Fashion Scarves
0000001625,2017-08-21,Pants
0000001625,2017-10-06,"Fashion Scarves,Knit Tops,Pants"
0000001625,2018-03-20,Knit Tops
0000001625,2018-09-22,"Fashion Scarves,Jackets and Outerwear,Knit Tops"
0000001625,2018-09-22,"Jackets and Outerwear,Knit Tops,Pants,Sweaters"
0000001625,2018-10-24,Jackets and Outerwear
0000001625,2018-10-24,Pants
0000001625,2018-10-31,"Knit Tops,Legwear,Sweaters"
0000001625,2019-01-20,Jackets and Outerwear
0000001625,2019-03-09,Jackets and Outerwear
0000001643,2017-08-30,Dresses
0000001643,2018-01-13,"Dresses,Knit Tops,Pants,Sweaters,Woven Shirts"
0000001643,2018-03-17,Pants
0000001643,2018-03-18,Dresses
0000001643,2018-05-05,"Dresses,Knit Tops,Pants,Sweaters,Woven Shirts"
0000001643,2018-05-27,Dresses
0000001643,2018-10-14,"Dresses,Pants"
0000001643,2018-11-10,Pants
0000001644,2017-07-12,Knit Tops
0000001644,2017-07-31,"Dresses,Knit Tops,Woven Shirts"
0000001644,2018-02-16,"Knit Tops,Sweaters,Woven Shirts"
0000001644,2018-04-09,"Knit Tops,Pants,Sweaters,Woven Shirts"
0000001644,2018-04-24,Pants
0000001644,2018-04-25,"Knit Tops,Pants"
0000001644,2018-07-10,Pants
0000001644,2019-01-05,"Knit Tops,Sweaters"
0000001644,2019-02-27,Knit Tops
0000001647,2017-07-15,"Knit Tops,Pants,Sweaters"
0000001647,2017-07-15,Pants
0000001647,2018-04-08,Knit Tops
0000001647,2018-04-08,"Knit Tops,Sweaters"
0000001647,2018-04-22,Knit Tops
0000001647,2018-05-21,Knit Tops
0000001647,2018-09-09,Knit Tops
0000001647,2018-09-09,Knit Tops
0000001673,2017-04-11,Dresses
0000001673,2018-01-27,"Jewelry,Knit Tops,Ponchos and Wraps"
0000001673,2018-04-20,Woven Shirts
0000001673,2018-04-29,Woven Shirts
0000001673,2018-05-08,Woven Shirts
0000001673,2019-02-03,"Knit Tops,Woven Shirts"
0000001794,2017-02-25,"Dresses,Knit Tops,Legwear,Sweaters,Woven Shirts"
0000001794,2017-05-10,"Dresses,Knit Tops,Pants,Sweaters"
0000001794,2017-11-04,"Dresses,Pants,Sweaters"
0000001794,2018-01-05,"Jackets and Outerwear,Knit Tops,Pants"
0000001794,2018-01-13,"Pants,Skirts,Sweaters,Woven Shirts"
0000001794,2018-06-23,"Dresses,Skirts,Woven Shirts"
0000001794,2018-06-24,Woven Shirts
0000001794,2018-06-24,Woven Shirts
